seq id	alignment start	alignment end	envelope start	envelope end	hmm acc	hmm name	type	hmm start	hmm end	hmm length	bit score	E-value	significance	clan
RTL1_Homo_sapiens_NM_001134888.frame1pep.fasta	424	510	413	511	PF13975.6	gag-asp_proteas	Domain	9	91	92	22.3	0.00015	0	CL0129
RTL1_Homo_sapiens_NM_001134888.frame1pep.fasta	709	781	704	782	PF00078.27	RVT_1	Family	140	221	222	19.8	0.00044	0	CL0027
RTL1_Homo_sapiens_NM_001134888.frame1pep.fasta	845	941	845	947	PF17919.1	RT_RNaseH_2	Domain	1	96	100	69.6	1.8e-19	1	CL0219
RTL3_Homo_sapiens_NM_152694.frame1pep.fasta	2	60	1	66	PF14662.6	KASH_CCD	Coiled-coil	104	162	191	13.9	0.037	0	No_clan
RTL3_Homo_sapiens_NM_152694.frame1pep.fasta	9	44	6	48	PF16559.5	GIT_CC	Coiled-coil	18	53	66	10.0	0.59	0	No_clan
RTL3_Homo_sapiens_NM_152694.frame1pep.fasta	17	50	15	55	PF05030.12	SSXT	Family	3	36	62	12.6	0.08	0	No_clan
RTL3_Homo_sapiens_NM_152694.frame1pep.fasta	235	318	218	324	PF16297.5	DUF4939	Family	23	106	112	49.5	3.2e-13	1	CL0523
RTL3_Homo_sapiens_NM_152694.frame1pep.fasta	445	459	443	460	PF00098.23	zf-CCHC	Domain	3	17	18	20.7	0.0003	1	CL0511
RTL5_Homo_sapiens_NM_001024455.frame1pep.fasta	153	228	136	231	PF16297.5	DUF4939	Family	29	104	112	45.9	4.4e-12	1	CL0523
RTL5_Homo_sapiens_NM_001024455.frame1pep.fasta	306	418	286	454	PF09421.10	FRQ	Family	826	933	982	7.9	0.68	0	No_clan
RTL5_Homo_sapiens_NM_001024455.frame1pep.fasta	324	410	319	492	PF12309.8	KBP_C	Family	32	120	355	12.7	0.066	0	No_clan
RTL5_Homo_sapiens_NM_001024455.frame1pep.fasta	336	454	325	509	PF09507.10	CDC27	Family	230	342	427	8.3	1.3	0	CL0123
RTL5_Homo_sapiens_NM_001024455.frame1pep.fasta	338	417	305	451	PF09746.9	Membralin	Family	95	180	381	5.1	10	0	No_clan
RTL5_Homo_sapiens_NM_001024455.frame1pep.fasta	339	407	258	428	PF13476.6	AAA_23	Domain	133	198	200	10.4	0.68	0	CL0023
RTL5_Homo_sapiens_NM_001024455.frame1pep.fasta	345	441	293	490	PF04147.12	Nop14	Family	309	422	875	7.1	1.3	0	No_clan
RTL5_Homo_sapiens_NM_001024455.frame1pep.fasta	360	417	304	514	PF02862.17	DDHD	Family	88	168	223	10.5	0.5	0	No_clan
RTL5_Homo_sapiens_NM_001024455.frame1pep.fasta	360	434	274	481	PF10221.9	DUF2151	Family	545	622	688	5.8	4.3	0	No_clan
RTL6_Homo_sapiens_NM_032287.frame1pep.fasta	20	66	4	72	PF17675.1	APG6_N	Coiled-coil	47	93	133	7.1	7.3	0	No_clan
RTL6_Homo_sapiens_NM_032287.frame1pep.fasta	22	63	19	73	PF06005.12	ZapB	Coiled-coil	13	54	71	14.0	0.051	0	CL0225
RTL6_Homo_sapiens_NM_032287.frame1pep.fasta	96	177	82	180	PF16297.5	DUF4939	Family	23	104	112	78.4	3.5e-22	1	CL0523
RTL8A_Homo_sapiens_NM_001078172.frame1pep.fasta	2	113	2	113	PF16297.5	DUF4939	Family	1	112	112	208.7	1.2e-62	1	CL0523
RTL8B_Homo_sapiens_NM_001078173.frame1pep.fasta	3	113	2	113	PF16297.5	DUF4939	Family	2	112	112	208.0	2e-62	1	CL0523
RTL8B_Homo_sapiens_NM_001078173.frame1pep.fasta	8	28	4	32	PF15451.6	DUF4632	Family	35	54	71	9.4	1.1	0	No_clan
RTL8C_Homo_sapiens_NM_001078171.frame1pep.fasta	2	113	2	113	PF16297.5	DUF4939	Family	1	112	112	210.3	3.8e-63	1	CL0523
ZCCHC12_Homo_sapiens_NM_001312891.frame1pep.fasta	13	212	3	213	PF14893.6	PNMA	Family	134	329	330	144.5	4.8e-42	1	CL0523
ZCCHC12_Homo_sapiens_NM_001312891.frame1pep.fasta	78	122	75	134	PF17939.1	TetR_C_30	Domain	31	76	115	7.6	4.2	0	CL0174
ZCCHC12_Homo_sapiens_NM_001312891.frame1pep.fasta	344	357	342	362	PF16588.5	zf-C2H2_10	Domain	3	16	23	15.5	0.011	0	CL0361
ZCCHC12_Homo_sapiens_NM_001312891.frame1pep.fasta	346	361	345	362	PF00098.23	zf-CCHC	Domain	2	17	18	12.1	0.16	0	CL0511
ZCCHC18_Homo_sapiens_NM_001143978.frame1pep.fasta	7	212	1	213	PF14893.6	PNMA	Family	129	329	330	143.1	1.3e-41	1	CL0523
ZCCHC18_Homo_sapiens_NM_001143978.frame1pep.fasta	77	122	74	134	PF17939.1	TetR_C_30	Domain	30	76	115	11.5	0.26	0	CL0174
ZCCHC18_Homo_sapiens_NM_001143978.frame1pep.fasta	348	359	346	364	PF16588.5	zf-C2H2_10	Domain	5	16	23	13.3	0.053	0	CL0361
ZCCHC18_Homo_sapiens_NM_001143978.frame1pep.fasta	349	363	348	364	PF00098.23	zf-CCHC	Domain	3	17	18	10.2	0.62	0	CL0511
