Seq	Region_start_refCoord	Region_end_refCoord	Region_start_alnCoord	Region_end_alnCoord	Indel_size	Region_type
lepWed1	1324	1325	1771	1772	2	Frameshift deletion
lepWed1	1378	1378	1960	1960	1	Frameshift deletion
pteAle1	712	713	769	770	2	Frameshift deletion
pteAle1	877	877	1075	1075	1	Frameshift deletion
pteAle1	1165	1166	1537	1538	2	Frameshift deletion
pteAle1	1186	1186	1558	1558	1	Frameshift deletion
pteVam1	712	713	769	770	2	Frameshift deletion
pteVam1	877	877	1075	1075	1	Frameshift deletion
pteVam1	1381	1381	1963	1963	1	Frameshift deletion
myoDav1	355	364	385	400	10	Frameshift deletion
myoDav1	712	713	769	770	2	Frameshift deletion
myoDav1	874	874	1072	1072	1	Frameshift deletion
myoDav1	1237	1238	1663	1664	2	Frameshift deletion
myoDav1	1297	1297	1744	1744	1	Frameshift deletion
myoDav1	1378	1378	1960	1960	1	Frameshift deletion
eptFus1	712	713	769	770	2	Frameshift deletion
eptFus1	1060	1060	1336	1336	1	Frameshift deletion
eriEur2	706	706	763	763	1	Frameshift deletion
eriEur2	874	874	1072	1072	1	Frameshift deletion
eriEur2	1281	1281	1720	1728	8	Frameshift insertion
eriEur2	1378	1378	1960	1960	1	Frameshift deletion
sorAra2	709	710	766	767	2	Frameshift deletion
sorAra2	1234	1235	1660	1661	2	Frameshift deletion
sorAra2	1279	1280	1717	1718	2	Frameshift deletion
sorAra2	1384	1384	1966	1966	1	Frameshift deletion
conCri1	637	637	691	691	1	Frameshift deletion
loxAfr3	874	874	1072	1072	1	Frameshift deletion
eleEdw1	859	859	1057	1057	1	Frameshift deletion
eleEdw1	1072	1072	1348	1348	1	Frameshift deletion
triMan1	874	874	1072	1072	1	Frameshift deletion
triMan1	994	994	1246	1246	1	Frameshift deletion
triMan1	1189	1190	1561	1562	2	Frameshift deletion
chrAsi1	871	871	1069	1069	1	Frameshift deletion
chrAsi1	1234	1235	1660	1661	2	Frameshift deletion
echTel2	934	934	1180	1180	1	Frameshift deletion
echTel2	1087	1087	1411	1411	1	Frameshift deletion
echTel2	1213	1213	1639	1639	1	Frameshift deletion
oryAfe1	871	871	1069	1069	1	Frameshift deletion
dasNov3	28	28	28	28	1	Frameshift deletion
dasNov3	1027	1028	1279	1280	2	Frameshift deletion
dasNov3	1183	1184	1555	1556	2	Frameshift deletion
dasNov3	1378	1378	1960	1960	1	Frameshift deletion
dasNov3	1570	1570	2257	2257	1	Frameshift deletion
