Gene	Synonyms	Accessions	Refseq_accs	Products	Regions	References
PNMA5		NP_001096620,NP_001096621,NP_001171853,NP_443158,XP_016884741,XP_016884742	NM_001103150,NM_001103151,NM_001184924,NM_052926,XM_017029252,XM_017029253	paraneoplastic antigen-like protein 5	PNMA	PMID_16214224,PMID_27424190,PMID_29892012,PMID_31515488,PMID_32296183
PNMA6A	MA6; PNMA6; PNMA6C	NP_116271	NM_032882	paraneoplastic antigen-like protein 6A	PNMA	PMID_10854409,PMID_16169070,PMID_16214224,PMID_16407312,PMID_32296183
PNMA6E		NP_001338222,NP_001338223,NP_001354699,XP_024308194	NM_001351293,NM_001351294,NM_001367770,XM_024452426	paraneoplastic antigen Ma6E	PNMA	PMID_27250503
PNMA6F	PNMA6BL	NP_001341909	NM_001354980	paraneoplastic antigen Ma6F	PHA03169,PNMA	PMID_10854409,PMID_27225868
PNMA8A	PNMAL1	NP_001096619,NP_060685,XP_011525369	NM_001103149,NM_018215,XM_011527067	paraneoplastic antigen-like protein 8A	PNMA	PMID_12107411,PMID_24743840
PNMA8B	PNMAL2	NP_065760	NM_020709	paraneoplastic antigen-like protein 8B	PNMA	PMID_10574461,PMID_12477932,PMID_16344560
RTL1	HUR1; Mar1; MART1; PEG11; SIRH2	NP_001128360	NM_001134888	retrotransposon-like protein 1	DUF4939,RNase_H_like,RT_LTR,Retrotrans_gag,SWIRM-assoc_2,retropepsin_like	PMID_12796779,PMID_15854907,PMID_16093683,PMID_16155747,PMID_18176563,PMID_19966805,PMID_23593033,PMID_24389010,PMID_27174469,PMID_28502757
RTL10	BOP; C22orf29	NP_078903	NM_024627	protein Bop	BH3,DUF4939	PMID_23055042,PMID_24673301,PMID_25404273,PMID_30185825
RTL3	Mar3; Mart3; SIRH9; ZCCHC5; ZHC5	NP_689907	NM_152694	retrotransposon Gag-like protein 3	DUF4939,PHA03160,zf-CCHC	PMID_15716091,PMID_16093683,PMID_30565205
RTL5	6430402L03Rik; MAR5; MART5; RGAG4; SIRH8	NP_001019626	NM_001024455	retrotransposon Gag-like protein 5	DUF4939,Retrotrans_gag	PMID_12056414,PMID_15716091,PMID_16093683
RTL6	dJ1033E15.2; LDOC1L; Mar6; Mart6; SIRH3	NP_115663	NM_032287	retrotransposon Gag-like protein 6	DUF4939	PMID_15461802,PMID_15716091,PMID_16093683
RTL8A	CXX1b; FAM127B; MAR8A; SIRH6	NP_001071640,NP_001127793	NM_001078172,NM_001134321	retrotransposon Gag-like protein 8A	DUF4939	PMID_15716091,PMID_16093683,PMID_28514442,PMID_32296183,PMID_9403077
RTL8B	CXX1c; FAM127C; MAR8B; SIRH4	NP_001071641	NM_001078173	retrotransposon Gag-like protein 8B	DUF4939	PMID_15716091,PMID_16093683,PMID_28514442,PMID_32296183,PMID_9403077
RTL8C	CXX1; FAM127A; Mar8; MAR8C; Mart8; MART8C; SIRH5	NP_001071639	NM_001078171	retrotransposon Gag-like protein 8C	DUF4939	PMID_15716091,PMID_15772651,PMID_16093683,PMID_16713569,PMID_9403077
ZCCHC12	PNMA7A; SIZN; SIZN1	NP_001299820,NP_776159	NM_001312891,NM_173798	zinc finger CCHC domain-containing protein 12	PNMA	PMID_18160706,PMID_18798319,PMID_19416967,PMID_19578717,PMID_21172456,PMID_21739307,PMID_25910212,PMID_28424903,PMID_28514442,PMID_32296183
ZCCHC18	PNMA7B; SIZN2	NP_001137450,XP_011529314	NM_001143978,XM_011531012	zinc finger CCHC domain-containing protein 18	PNMA	PMID_22340173
