PubmedID	Genes	Accessions	Refseq_accessions	Authors	Journal	Title
16407312	PNMA3,PNMA6A	NP_001269464,NP_037496,NP_116271	NM_001282535,NM_013364,NM_032882	Wills NM, Moore B, Hammer A, Gesteland RF and Atkins JF.	J Biol Chem 281 (11), 7082-7088 (2006)	A functional -1 ribosomal frameshift signal in the human paraneoplastic Ma3 gene
16713569	RTL8C	NP_001071639	NM_001078171	Lim J, Hao T, Shaw C, Patel AJ, Szabo G, Rual JF, Fisk CJ, Li N, Smolyar A, Hill DE, Barabasi AL, Vidal M and Zoghbi HY.	Cell 125 (4), 801-814 (2006)	A protein-protein interaction network for human inherited ataxias and disorders of Purkinje cell degeneration
17120280	ARC	NP_056008	NM_015193	Dynes JL and Steward O.	J Comp Neurol 500 (3), 433-447 (2007)	Dynamics of bidirectional transport of Arc mRNA in neuronal dendrites
17466953	ARC	NP_056008	NM_015193	Bloomer WA, VanDongen HM and VanDongen AM.	Brain Res 1153, 20-33 (2007)	Activity-regulated cytoskeleton-associated protein Arc/Arg3.1 binds to spectrin and associates with nuclear promyelocytic leukemia (PML) bodies
17474147	PNMA2	NP_009188	NM_007257	Wu C, Ma MH, Brown KR, Geisler M, Li L, Tzeng E, Jia CY, Jurisica I and Li SS.	Proteomics 7 (11), 1775-1785 (2007)	Systematic identification of SH3 domain-mediated human protein-protein interactions by peptide array target screening
17942406	PEG10	NP_001035242,NP_001165908,NP_001165909,NP_001171890,NP_001171891,NP_055883	NM_001040152,NM_001172437,NM_001172438,NM_001184961,NM_001184962,NM_015068	Clark MB, Janicke M, Gottesbuhren U, Kleffmann T, Legge M, Poole ES and Tate WP.	J Biol Chem 282 (52), 37359-37369 (2007)	Mammalian gene PEG10 expresses two reading frames by high efficiency -1 frameshifting in embryonic-associated tissues
18160706	ZCCHC12	NP_001299820,NP_776159	NM_001312891,NM_173798	Cho G, Lim Y, Zand D and Golden JA.	Mol Cell Biol 28 (5), 1565-1572 (2008)	Sizn1 is a novel protein that functions as a transcriptional coactivator of bone morphogenic protein signaling
18176563	RTL1	NP_001128360	NM_001134888	Kagami M, Sekita Y, Nishimura G, Irie M, Kato F, Okada M, Yamamori S, Kishimoto H, Nakayama M, Tanaka Y, Matsuoka K, Takahashi T, Noguchi M, Tanaka Y, Masumoto K, Utsunomiya T, Kouzan H, Komatsu Y, Ohashi H, Kurosawa K, Kosaki K, Ferguson-Smith AC, Ishino F and Ogata T.	Nat Genet 40 (2), 237-242 (2008)	Deletions and epimutations affecting the human 14q32.2 imprinted region in individuals with paternal and maternal upd(14)-like phenotypes
18798319	ZCCHC12	NP_001299820,NP_776159	NM_001312891,NM_173798	Cho G, Bhat SS, Gao J, Collins JS, Rogers RC, Simensen RJ, Schwartz CE, Golden JA and Srivastava AK.	Am J Med Genet A 146A (20), 2644-2650 (2008)	Evidence that SIZN1 is a candidate X-linked mental retardation gene
19389623	CCDC8	NP_114429	NM_032040	Hendrickx A, Beullens M, Ceulemans H, Den Abt T, Van Eynde A, Nicolaescu E, Lesage B and Bollen M.	Chem Biol 16 (4), 365-371 (2009)	Docking motif-guided mapping of the interactome of protein phosphatase-1
19416967	ZCCHC12	NP_001299820,NP_776159	NM_001312891,NM_173798	Cho G, Lim Y and Golden JA.	J Biol Chem 284 (29), 19592-19600 (2009)	SUMO interaction motifs in Sizn1 are required for promyelocytic leukemia protein nuclear body localization and for transcriptional activation
19578717	ZCCHC12	NP_001299820,NP_776159	NM_001312891,NM_173798	Li H, Liu Q, Hu X, Feng D, Xiang S, He Z, Hu X, Zhou J, Ding X, Zhou C and Zhang J.	Acta Biochim Biophys Sin (Shanghai) 41 (7), 535-544 (2009)	Human ZCCHC12 activates AP-1 and CREB signaling as a transcriptional co-activator
19966805	RTL1	NP_001128360	NM_001134888	Wallace C, Smyth DJ, Maisuria-Armer M, Walker NM, Todd JA and Clayton DG.	Nat Genet 42 (1), 68-71 (2010)	The imprinted DLK1-MEG3 gene region on chromosome 14q32.2 alters susceptibility to type 1 diabetes
20084274	PEG10	NP_001035242,NP_001165908,NP_001165909,NP_001171890,NP_001171891,NP_055883	NM_001040152,NM_001172437,NM_001172438,NM_001184961,NM_001184962,NM_015068	Lux H, Flammann H, Hafner M and Lux A.	PLoS One 5 (1), e8686 (2010)	Genetic and molecular analyses of PEG10 reveal new aspects of genomic organization, transcription and translation
20301654	CCDC8	NP_114429	NM_032040	Irving,M. and Holder-Espinasse,M.	(in) Adam MP, Ardinger HH, Pagon RA, Wallace SE, Bean LJH, Stephens K and Amemiya A (Eds.); GENEREVIEWS((R)); (1993)	Three M Syndrome
21172456	ZCCHC12	NP_001299820,NP_776159	NM_001312891,NM_173798	Cho G, Lim Y and Golden JA.	Gene Expr Patterns 11 (3-4), 216-220 (2011)	XLMR candidate mouse gene, Zcchc12 (Sizn1) is a novel marker of Cajal-Retzius cells
21737058	CCDC8	NP_114429	NM_032040	Hanson D, Murray PG, O'Sullivan J, Urquhart J, Daly S, Bhaskar SS, Biesecker LG, Skae M, Smith C, Cole T, Kirk J, Chandler K, Kingston H, Donnai D, Clayton PE and Black GC.	Am J Hum Genet 89 (1), 148-153 (2011)	Exome sequencing identifies CCDC8 mutations in 3-M syndrome, suggesting that CCDC8 contributes in a pathway with CUL7 and OBSL1 to control human growth
21739307	ZCCHC12	NP_001299820,NP_776159	NM_001312891,NM_173798	Li QL, Chen FJ, Lai R, Guo ZM, Luo R and Yang AK.	Med Oncol 29 (3), 1409-1417 (2012)	ZCCHC12, a potential molecular marker of papillary thyroid carcinoma: a preliminary study
21834987	ARC	NP_056008	NM_015193	Bai SW, Herrera-Abreu MT, Rohn JL, Racine V, Tajadura V, Suryavanshi N, Bechtel S, Wiemann S, Baum B and Ridley AJ.	BMC Biol 9, 54 (2011)	Identification and characterization of a set of conserved and new regulators of cytoskeletal organization, cell morphology and migration
22084066	CCDC8	NP_114429	NM_032040	Dai C, Tang Y, Jung SY, Qin J, Aaronson SA and Gu W.	Proc Natl Acad Sci U S A 108 (47), 18937-18942 (2011)	Differential effects on p53-mediated cell cycle arrest vs. apoptosis by p90
22156540	CCDC8	NP_114429	NM_032040	Hanson D, Murray PG, Black GC and Clayton PE.	Horm Res Paediatr 76 (6), 369-378 (2011)	The genetics of 3-M syndrome: unravelling a potential new regulatory growth pathway
22340173	ZCCHC18	NP_001137450	NM_001143978	Wang H, Liu XL, Shu SN, Huang YJ and Fang F.	Chin Med J (Engl) 124 (21), 3532-3536 (2011)	Identification of proteins that interact with murine cytomegalovirus early protein M112-113 in brain
23018678	CCDC8	NP_114429	NM_032040	Hanson D, Murray PG, Coulson T, Sud A, Omokanye A, Stratta E, Sakhinia F, Bonshek C, Wilson LC, Wakeling E, Temtamy SA, Aglan M, Rosser EM, Mansour S, Carcavilla A, Nampoothiri S, Khan WI, Banerjee I, Chandler KE, Black GC and Clayton PE.	J Mol Endocrinol 49 (3), 267-275 (2012)	Mutations in CUL7, OBSL1 and CCDC8 in 3-M syndrome lead to disordered growth factor signalling
23055042	RTL10	NP_078903	NM_024627	Zhang X, Weng C, Li Y, Wang X, Jiang C, Li X, Xu Y, Chen Q, Pan L and Tang H.	Protein Cell 3 (10), 790-801 (2012)	Human Bop is a novel BH3-only member of the Bcl-2 protein family
23593033	RTL1	NP_001128360	NM_001134888	Riordan JD, Keng VW, Tschida BR, Scheetz TE, Bell JB, Podetz-Pedersen KM, Moser CD, Copeland NG, Jenkins NA, Roberts LR, Largaespada DA and Dupuy AJ.	PLoS Genet 9 (4), e1003441 (2013)	Identification of rtl1, a retrotransposon-derived imprinted gene, as a novel driver of hepatocarcinogenesis
24389010	RTL1	NP_001128360	NM_001134888	Bundo M, Toyoshima M, Okada Y, Akamatsu W, Ueda J, Nemoto-Miyauchi T, Sunaga F, Toritsuka M, Ikawa D, Kakita A, Kato M, Kasai K, Kishimoto T, Nawa H, Okano H, Yoshikawa T, Kato T and Iwamoto K.	Neuron 81 (2), 306-313 (2014)	Increased l1 retrotransposition in the neuronal genome in schizophrenia
24673301	RTL10	NP_078903	NM_024627	Plotz M and Eberle J.	Exp Dermatol 23 (6), 375-378 (2014)	BH3-only proteins: possible proapoptotic triggers for melanoma therapy
24743840	PNMA8A	NP_001096619,NP_060685	NM_001103149,NM_018215	Figueiredo JC, Hsu L, Hutter CM, Lin Y, Campbell PT, Baron JA, Berndt SI, Jiao S, Casey G, Fortini B, Chan AT, Cotterchio M, Lemire M, Gallinger S, Harrison TA, Le Marchand L, Newcomb PA, Slattery ML, Caan BJ, Carlson CS, Zanke BW, Rosse SA, Brenner H, Giovannucci EL, Wu K, Chang-Claude J, Chanock SJ, Curtis KR, Duggan D, Gong J, Haile RW, Hayes RB, Hoffmeister M, Hopper JL, Jenkins MA, Kolonel LN, Qu C, Rudolph A, Schoen RE, Schumacher FR, Seminara D, Stelling DL, Thibodeau SN, Thornquist M, Warnick GS, Henderson BE, Ulrich CM, Gauderman WJ, Potter JD, White E and Peters U.	PLoS Genet 10 (4), e1004228 (2014)	Genome-wide diet-gene interaction analyses for risk of colorectal cancer
25404273	RTL10	NP_078903	NM_024627	Gao W, Huang W and Liu K.	Zhongguo Fei Ai Za Zhi 17 (11), 819-823 (2014)	[Effect and significance of BH3-only protein in targeted therapy of non-small cell lung cancer]
25752541	CCDC8	NP_114429	NM_032040	Nie J, Xu C, Jin J, Aka JA, Tempel W, Nguyen V, You L, Weist R, Min J, Pawson T and Yang XJ.	Structure 23 (4), 700-712 (2015)	Ankyrin repeats of ANKRA2 recognize a PxLPxL motif on the 3M syndrome protein CCDC8
25910212	PNMA2,ZCCHC12	NP_001299820,NP_009188,NP_776159	NM_001312891,NM_007257,NM_173798	Sahni N, Yi S, Taipale M, Fuxman Bass JI, Coulombe-Huntington J, Yang F, Peng J, Weile J, Karras GI, Wang Y, Kovacs IA, Kamburov A, Krykbaeva I, Lam MH, Tucker G, Khurana V, Sharma A, Liu YY, Yachie N, Zhong Q, Shen Y, Palagi A, San-Miguel A, Fan C, Balcha D, Dricot A, Jordan DM, Walsh JM, Shah AA, Yang X, Stoyanova AK, Leighton A, Calderwood MA, Jacob Y, Cusick ME, Salehi-Ashtiani K, Whitesell LJ, Sunyaev S, Berger B, Barabasi AL, Charloteaux B, Hill DE, Hao T, Roth FP, Xia Y, Walhout AJM, Lindquist S and Vidal M.	Cell 161 (3), 647-660 (2015)	Widespread macromolecular interaction perturbations in human genetic disorders
26423533	CCDC8	NP_114429	NM_032040	Wei M, Zhao X, Liu M, Huang Z, Xiao Y, Niu M, Shao Y and Kleiman L.	Sci Rep 5, 14724 (2015)	Inhibition of HIV-1 assembly by coiled-coil domain containing protein 8 in human cells
