Accession	Length(aa)	Species	Refseq_link	Gene_name	Gene_synonyms	Description	Protein_product_names	Protein_product_notes	Region_names	Region_notes	
NP_001019626	569	Homo sapiens	NM_001024455	RTL5	6430402L03Rik; MAR5; MART5; RGAG4; SIRH8	retrotransposon Gag-like protein 5 [Homo sapiens].	retrotransposon Gag-like protein 5	retrotransposon gag domain containing 4; retrotransposon gag domain-containing protein 4; Sushi-Ichi retrotransposon homolog 8; mammalian retrotransposon-derived 5	DUF4939,Retrotrans_gag	Domain of unknown function (DUF4939); pfam16297,Retrotransposon gag protein; pfam03732
NP_001165908	784	Homo sapiens	NM_001172437	PEG10	EDR; HB-1; Mar2; Mart2; MEF3L; RGAG3; RTL2; SIRH1	retrotransposon-derived protein PEG10 isoform 3 [Homo sapiens].	retrotransposon-derived protein PEG10 isoform 3	embryonal carcinoma differentiation regulated; MEF3 like 1; ty3/Gypsy-like protein; paternally expressed gene 10 protein; myelin expression factor 3-like protein 1; mammalian retrotransposon-derived protein 2; retrotransposon-derived gag-like polyprotein; retrotransposon gag domain-containing protein 3; retrotransposon-derived protein PEG10; Sushi-Ichi retrotransposon homolog 1; mammalian retrotransposon-derived 2; retrotransposon Gag like 2	BRLZ,DUF4939,Retrotrans_gag,retropepsin_like	basic region leucin zipper; smart00338,Domain of unknown function (DUF4939); pfam16297,Retrotransposon gag protein; pfam03732,Retropepsins; pepsin-like aspartate proteases; cd00303
NP_001165909	401	Homo sapiens	NM_001172438	PEG10	EDR; HB-1; Mar2; Mart2; MEF3L; RGAG3; RTL2; SIRH1	retrotransposon-derived protein PEG10 isoform 4 [Homo sapiens].	retrotransposon-derived protein PEG10 isoform 4	embryonal carcinoma differentiation regulated; MEF3 like 1; ty3/Gypsy-like protein; paternally expressed gene 10 protein; myelin expression factor 3-like protein 1; mammalian retrotransposon-derived protein 2; retrotransposon-derived gag-like polyprotein; retrotransposon gag domain-containing protein 3; retrotransposon-derived protein PEG10; Sushi-Ichi retrotransposon homolog 1; mammalian retrotransposon-derived 2; retrotransposon Gag like 2	SHE3,DUF4939,Retrotrans_gag	SWI5-dependent HO expression protein 3; pfam17078,Domain of unknown function (DUF4939); pfam16297,Retrotransposon gag protein; pfam03732
NP_001171853	448	Homo sapiens	NM_001184924	PNMA5		paraneoplastic antigen-like protein 5 [Homo sapiens].	paraneoplastic antigen-like protein 5	tumor antigen BJ-HCC-25; paraneoplastic Ma antigen family member 5	PNMA	PNMA; pfam14893
NP_001171890	742	Homo sapiens	NM_001184961	PEG10	EDR; HB-1; Mar2; Mart2; MEF3L; RGAG3; RTL2; SIRH1	retrotransposon-derived protein PEG10 isoform 5 [Homo sapiens].	retrotransposon-derived protein PEG10 isoform 5	embryonal carcinoma differentiation regulated; MEF3 like 1; ty3/Gypsy-like protein; paternally expressed gene 10 protein; myelin expression factor 3-like protein 1; mammalian retrotransposon-derived protein 2; retrotransposon-derived gag-like polyprotein; retrotransposon gag domain-containing protein 3; retrotransposon-derived protein PEG10; Sushi-Ichi retrotransposon homolog 1; mammalian retrotransposon-derived 2; retrotransposon Gag like 2	Alternative start codon,BRLZ,DUF4939,Retrotrans_gag,retropepsin_like	basic region leucin zipper; smart00338,Domain of unknown function (DUF4939); pfam16297,Retrotransposon gag protein; pfam03732,Retropepsins; pepsin-like aspartate proteases; cd00303
NP_001171891	359	Homo sapiens	NM_001184962	PEG10	EDR; HB-1; Mar2; Mart2; MEF3L; RGAG3; RTL2; SIRH1	retrotransposon-derived protein PEG10 isoform 6 [Homo sapiens].	retrotransposon-derived protein PEG10 isoform 6	embryonal carcinoma differentiation regulated; MEF3 like 1; ty3/Gypsy-like protein; paternally expressed gene 10 protein; myelin expression factor 3-like protein 1; mammalian retrotransposon-derived protein 2; retrotransposon-derived gag-like polyprotein; retrotransposon gag domain-containing protein 3; retrotransposon-derived protein PEG10; Sushi-Ichi retrotransposon homolog 1; mammalian retrotransposon-derived 2; retrotransposon Gag like 2	Alternative start codon,bZIP,DUF4939,Retrotrans_gag	Basic leucine zipper (bZIP) domain of bZIP transcription factors: a DNA-binding and dimerization domain; cl21462,Domain of unknown function (DUF4939); pfam16297,Retrotransposon gag protein; pfam03732
NP_001269464	455	Homo sapiens	NM_001282535	PNMA3	MA3; MA5	paraneoplastic antigen Ma3 isoform 2 [Homo sapiens].	paraneoplastic antigen Ma3 isoform 2	paraneoplastic cancer-testis-brain antigen; paraneoplastic antigen MA3; paraneoplastic Ma antigen 3	PNMA	PNMA; pfam14893
NP_001299820	402	Homo sapiens	NM_001312891	ZCCHC12	PNMA7A; SIZN; SIZN1	zinc finger CCHC domain-containing protein 12 [Homo sapiens].	zinc finger CCHC domain-containing protein 12	zinc finger, CCHC domain containing 12; smad-interacting zinc finger protein 1; paraneoplastic Ma antigen family member 7A	PNMA	PNMA; pfam14893
NP_001338222	369	Homo sapiens	NM_001351293	PNMA6E		paraneoplastic antigen Ma6E isoform 1 [Homo sapiens].	paraneoplastic antigen Ma6E isoform 1	putative paraneoplastic antigen-like protein 6B-like; paraneoplastic Ma antigen family member 6E; paraneoplastic antigen Ma6E	PNMA	pfam14893
NP_001338223	369	Homo sapiens	NM_001351294	PNMA6E		paraneoplastic antigen Ma6E isoform 1 [Homo sapiens].	paraneoplastic antigen Ma6E isoform 1	putative paraneoplastic antigen-like protein 6B-like; paraneoplastic Ma antigen family member 6E; paraneoplastic antigen Ma6E	PNMA	pfam14893
NP_001341909	578	Homo sapiens	NM_001354980	PNMA6F	PNMA6BL	paraneoplastic antigen Ma6F [Homo sapiens].	paraneoplastic antigen Ma6F	paraneoplastic antigen-like protein 6B; paraneoplastic Ma antigen family member 6F	PNMA,PHA03169	PNMA; pfam14893,hypothetical protein; Provisional
NP_001354699	647	Homo sapiens	NM_001367770	PNMA6E		paraneoplastic antigen Ma6E isoform 2 [Homo sapiens].	paraneoplastic antigen Ma6E isoform 2	putative paraneoplastic antigen-like protein 6B-like; paraneoplastic Ma antigen family member 6E; paraneoplastic antigen Ma6E		
NP_006020	353	Homo sapiens	NM_006029	PNMA1	MA1	paraneoplastic antigen Ma1 [Homo sapiens].	paraneoplastic antigen Ma1	paraneoplastic neuronal antigen MA1; 37 kDa neuronal protein; neuron- and testis-specific protein 1; paraneoplastic Ma antigen 1	PNMA	pfam14893
NP_009188	364	Homo sapiens	NM_007257	PNMA2	MA2; MM2; RGAG2	paraneoplastic antigen Ma2 [Homo sapiens].	paraneoplastic antigen Ma2	onconeuronal antigen MA2; retrotransposon gag domain containing 2; 40 kDa neuronal protein; paraneoplastic neuronal antigen MM2; paraneoplastic Ma antigen 2	PNMA	PNMA; pfam14893
NP_036449	146	Homo sapiens	NM_012317	LDOC1	BCUR1; Mar7; Mart7; RTL7; SIRH7	protein LDOC1 [Homo sapiens].	protein LDOC1	breast cancer, up-regulated 1; leucine zipper protein down-regulated in cancer cells; leucine zipper downregulated in cancer; leucine zipper down-regulated in cancer 1; Sushi-Ichi retrotransposon homolog 7; mammalian retrotransposon-derived 7; retrotransposon Gag like 7	DUF4939	Domain of unknown function (DUF4939); pfam16297
NP_037496	463	Homo sapiens	NM_013364	PNMA3	MA3; MA5	paraneoplastic antigen Ma3 isoform 1 [Homo sapiens].	paraneoplastic antigen Ma3 isoform 1	paraneoplastic cancer-testis-brain antigen; paraneoplastic antigen MA3; paraneoplastic Ma antigen 3	PNMA	PNMA; pfam14893
NP_055883	708	Homo sapiens	NM_015068	PEG10	EDR; HB-1; Mar2; Mart2; MEF3L; RGAG3; RTL2; SIRH1	retrotransposon-derived protein PEG10 isoform 1 [Homo sapiens].	retrotransposon-derived protein PEG10 isoform 1	embryonal carcinoma differentiation regulated; MEF3 like 1; ty3/Gypsy-like protein; paternally expressed gene 10 protein; myelin expression factor 3-like protein 1; mammalian retrotransposon-derived protein 2; retrotransposon-derived gag-like polyprotein; retrotransposon gag domain-containing protein 3; retrotransposon-derived protein PEG10; Sushi-Ichi retrotransposon homolog 1; mammalian retrotransposon-derived 2; retrotransposon Gag like 2	BRLZ,Necessary for interaction with ALK1. /evidence=ECO:0000269|PubMed:15611116,DUF4939,Retrotrans_gag,retropepsin_like	basic region leucin zipper; smart00338,propagated from UniProtKB/Swiss-Prot (Q86TG7.2),Domain of unknown function (DUF4939); pfam16297,Retrotransposon gag protein; pfam03732,Retropepsins; pepsin-like aspartate proteases; cd00303
NP_056008	396	Homo sapiens	NM_015193	ARC	Arg3.1; hArc	activity-regulated cytoskeleton-associated protein [Homo sapiens].	activity-regulated cytoskeleton-associated protein	ARC/ARG3.1; activity-regulated gene 3.1 protein homolog	Interaction with SH3GL1 or SH3GL3. /evidence=ECO:0000250|UniProtKB:Q63053,Interaction with DNM2. /evidence=ECO:0000250|UniProtKB:Q63053	propagated from UniProtKB/Swiss-Prot (Q7LC44.1),propagated from UniProtKB/Swiss-Prot (Q7LC44.1)
NP_060685	439	Homo sapiens	NM_018215	PNMA8A	PNMAL1	paraneoplastic antigen-like protein 8A isoform a [Homo sapiens].	paraneoplastic antigen-like protein 8A isoform a	PNMA-like protein 1; paraneoplastic Ma antigen family like 1; paraneoplastic Ma antigen family member 8A; paraneoplastic antigen-like protein 8A	PNMA	PNMA; pfam14893
NP_065760	635	Homo sapiens	NM_020709	PNMA8B	PNMAL2	paraneoplastic antigen-like protein 8B [Homo sapiens].	paraneoplastic antigen-like protein 8B	PNMA-like 2; PNMA-like protein 2; paraneoplastic Ma antigen family like 2; paraneoplastic Ma antigen family member 8B	PNMA	PNMA; pfam14893
NP_071434	351	Homo sapiens	NM_022151	MOAP1	MAP-1; PNMA4	modulator of apoptosis 1 [Homo sapiens].	modulator of apoptosis 1	MAP1; paraneoplastic antigen like 4; paraneoplastic antigen Ma4; paraneoplastic Ma antigen family member 4	PNMA,BH3-like,RASSF1-binding	PNMA; pfam14893,propagated from UniProtKB/Swiss-Prot (Q96BY2.1),propagated from UniProtKB/Swiss-Prot (Q96BY2.1)
NP_078903	364	Homo sapiens	NM_024627	RTL10	BOP; C22orf29	protein Bop [Homo sapiens].	protein Bop	BH3-only protein; retrotransposon Gag-like protein 10	DUF4939,BH3	Domain of unknown function (DUF4939); pfam16297,propagated from UniProtKB/Swiss-Prot (Q7L3V2.1)
NP_114429	538	Homo sapiens	NM_032040	CCDC8	3M3; p90; PPP1R20	coiled-coil domain-containing protein 8 [Homo sapiens].	coiled-coil domain-containing protein 8	protein phosphatase 1, regulatory subunit 20	PNMA,OM_channels,PxLPxI/L motif, mediates interaction with ANKRA2. /evidence=ECO:0000269|PubMed:25752541	PNMA; pfam14893,Porin superfamily. These outer membrane channels share a beta-barrel structure that differ in strand and shear number. Classical (gram-negative) porins are non-specific channels for small hydrophillic molecules and form 16 beta-stranded barrels (16,20)...; cl21487,propagated from UniProtKB/Swiss-Prot (Q9H0W5.2)
NP_115663	239	Homo sapiens	NM_032287	RTL6	dJ1033E15.2; LDOC1L; Mar6; Mart6; SIRH3	retrotransposon Gag-like protein 6 [Homo sapiens].	retrotransposon Gag-like protein 6	mammalian retrotransposon-derived protein 6; leucine zipper protein down-regulated in cancer cells-like; protein LDOC1L; leucine zipper down-regulated in cancer 1 like; LDOC1 like; Sushi-Ichi retrotransposon homolog 3; mammalian retrotransposon-derived 6	DUF4939	Domain of unknown function (DUF4939); pfam16297
NP_116271	399	Homo sapiens	NM_032882	PNMA6A	MA6; PNMA6; PNMA6C	paraneoplastic antigen-like protein 6A [Homo sapiens].	paraneoplastic antigen-like protein 6A	paraneoplastic Ma antigen family member 6A; paraneoplastic antigen-like 6A related protein; paraneoplastic antigen-like protein 6C; paraneoplastic Ma antigen family member 6C	PNMA	PNMA; pfam14893
NP_443158	448	Homo sapiens	NM_052926	PNMA5		paraneoplastic antigen-like protein 5 [Homo sapiens].	paraneoplastic antigen-like protein 5	tumor antigen BJ-HCC-25; paraneoplastic Ma antigen family member 5	PNMA	PNMA; pfam14893
NP_689907	475	Homo sapiens	NM_152694	RTL3	Mar3; Mart3; SIRH9; ZCCHC5; ZHC5	retrotransposon Gag-like protein 3 [Homo sapiens].	retrotransposon Gag-like protein 3	zinc finger, CCHC domain containing 5; mammalian retrotransposon-derived 3; zinc finger CCHC domain-containing protein 5; zinc finger CCHC-type containing 5; Sushi-Ichi retrotransposon homolog 9	PHA03160,DUF4939,zf-CCHC	hypothetical protein; Provisional,Domain of unknown function (DUF4939); pfam16297,Zinc knuckle; pfam00098
NP_776159	402	Homo sapiens	NM_173798	ZCCHC12	PNMA7A; SIZN; SIZN1	zinc finger CCHC domain-containing protein 12 [Homo sapiens].	zinc finger CCHC domain-containing protein 12	zinc finger, CCHC domain containing 12; smad-interacting zinc finger protein 1; paraneoplastic Ma antigen family member 7A	PNMA	PNMA; pfam14893
XP_011511643	708	Homo sapiens	XM_011513341	LOC105374013		endogenous retrovirus group K member 5 Gag polyprotein [Homo sapiens].	endogenous retrovirus group K member 5 Gag polyprotein		Gag_p10,Gag_p24,zf-CCHC,zf-CCHC_5,RPA_2b-aaRSs_OBF_like	Retroviral GAG p10 protein; pfam02337,gag gene protein p24 (core nucleocapsid protein); pfam00607,Zinc knuckle; pfam00098,GAG-polyprotein viral zinc-finger; pfam14787,Replication protein A, class 2b aminoacyl-tRNA synthetases, and related proteins with oligonucleotide/oligosaccharide (OB) fold; cl09930
XP_011525369	470	Homo sapiens	XM_011527067	PNMA8A	PNMAL1	paraneoplastic antigen-like protein 8A isoform X1 [Homo sapiens].	paraneoplastic antigen-like protein 8A isoform X1		PNMA	PNMA; pfam14893
XP_011529314	403	Homo sapiens	XM_011531012	ZCCHC18	PNMA7B; SIZN2	zinc finger CCHC domain-containing protein 18 isoform X1 [Homo sapiens].	zinc finger CCHC domain-containing protein 18 isoform X1		PNMA	PNMA; pfam14893
XP_011542667	364	Homo sapiens	XM_011544365	PNMA2	MA2; MM2; RGAG2	paraneoplastic antigen Ma2 isoform X1 [Homo sapiens].	paraneoplastic antigen Ma2 isoform X1		PNMA	PNMA; pfam14893
XP_016863109	694	Homo sapiens	XM_017007620	LOC107986113		endogenous retrovirus group K member 7 Gag polyprotein [Homo sapiens].	endogenous retrovirus group K member 7 Gag polyprotein			
XP_016884741	448	Homo sapiens	XM_017029252	PNMA5		paraneoplastic antigen-like protein 5 isoform X1 [Homo sapiens].	paraneoplastic antigen-like protein 5 isoform X1		PNMA	PNMA; pfam14893
XP_016884742	448	Homo sapiens	XM_017029253	PNMA5		paraneoplastic antigen-like protein 5 isoform X1 [Homo sapiens].	paraneoplastic antigen-like protein 5 isoform X1		PNMA	PNMA; pfam14893
XP_024308194	369	Homo sapiens	XM_024452426	PNMA6E		paraneoplastic antigen Ma6E isoform X1 [Homo sapiens].	paraneoplastic antigen Ma6E isoform X1		PNMA	pfam14893
